,age,weight,height
Auvasa Falealii,0,0,0
Aviata Silago,0,0,0
D'Angelo Leuila,0,0,0
Dwayne Polataivao,32,92,175
Ed Fidow,29,97,188
Elijah Niko,0,0,0
Elisapeta Alofipo,25,90,185
George Pisi,0,0,0
Henry Taefu,0,0,0
Jamie-Jerry Taulagi,29,89,180
Joe Perez,0,0,0
John Vaili,27,83,193
Jonathan Taumateine,26,82,177
Losi Filipo,25,96,175
Mike Ellery,33,106,193
Neria Fomai,31,94,180
Nigel Hunt,39,90,175
Opetera Peleseuma,0,0,0
Reece Anapu,0,0,0
Rodney Yona,31,89,177
Sinoti Sinoti,37,92,175
Stacey Ili,31,94,176
Taiso Silafai-Leaana,0,0,0
Tam Uli Salelologa,0,0,0
Tietie Tuimaga,0,0,0
Tom Heathcote,31,89,179
Tomasi Alosio,31,83,187
Winston Stanley,0,0,0
 Jean Sousa,0,0,0
Diogo Ferreira,26,118,183
Duarte Diniz,0,0,0
Duarte Torgal,25,102,191
Francisco Fernades Moreira,0,0,0
Geoffrey Moise,31,129,187
Joao Granate,0,0,0
Jose Madeira,0,0,0
Lionel Campergue,0,0,0
Rafael Simoes,22,103,191
Steevy Cerqueira,29,99,204
Cody Thomas,0,0,0
David Wallis,0,0,0
James Verity-Amm,0,0,0
Jeromino Portela,0,0,0
Joao Mateus,0,0,0
Jorge Abecasis,27,110,201
Jose Lima,0,0,0
Manuel Cardoso Pinto,0,0,0
Pedro Bettencourt,28,94,187
Pedro Lucas,0,0,0
Samuel Marques,34,76,172
Simao Bento ,0,0,0
Thibault De Freitas,0,0,0
Tomas Appleton,22,121,189
Vincent Pinto,0,0,0
Andrew Quattrin,0,0,0
Cole Keith,25,118,185
Conor Keys,26,111,193
Djustice Sears-Duru,28,118,185
Eric Howard,29,105,176
Jake Ilnicki,30,125,180
Josh Larsen,28,106,196
Lucas Albornoz,31,107,191
Lucas Rumball,27,95,192
Marc-Antoine Rallier,34,107,182
ReeganO'Gorman,0,0,0
Siaki Vikilani,0,0,0
Stephan Malan,0,0,0
Ben LeSage,27,93,182
Cole Davis,25,100,188
Corey Thomas,0,0,0
Donald Carson,0,0,0
Ernst Stapelberg,0,0,0
Gavin Mullin,25,86,181
JW Jonker,0,0,0
Kainoa Lloyd,28,93,180
LachlanKratz,0,0,0
LiamMurray,0,0,0
Michael Smith,0,0,0
Peter Nelson,30,82,181
QuinnNgawati,0,0,0
Robert Povey,0,0,0
Ross Braude,0,0,0
TylerRowland,0,0,0
Billy Harmon,28,104,187
Caleb Delaney,0,0,0
Cameron Suafoa,0,0,0
Cullen Grace,0,0,0
Isaia Walker-Leawere,25,125,200
Jermaine Ainsley,27,121,181
Josh Dickson,28,109,200
Kurt Eklund,0,0,0
Leni Apisai,26,106,181
Manaaki Selby-Rickit,26,107,200
Marcel Renata,28,121,187
Max Hicks,0,0,0
Ollie Norris,0,0,0
Reed Prinsep,29,108,192
TK Howden,0,0,0
Tamaiti Williams,0,0,0
Alex Nankivell,26,98,188
Bailyn Sullivan,24,95,186
Billy Proctor,23,96,187
Brad Weber,32,75,172
Connor Garden-Bachop,0,0,0
Josh Ioane,27,90,180
Josh Moorby,0,0,0
Rameka Poihipi,0,0,0
Ruben Love,0,0,0
Shaun Stevenson,26,90,190
TJ Perenara,31,94,183
Tyrone Thompson,0,0,0
Zarn Sullivan,0,0,0
Andrew Darlington,0,0,0
Christopher Van Leeuwen,27,125,198
Dave Koelman,23,105,186
Dennis Van Dijken,23,115,198
Dirk Danen,0,0,0
Hugo Langelaan,0,0,0
Liam Stone,0,0,0
Lodi Buijs,0,0,0
Louis Bruinsma,0,0,0
Mark Darlington,0,0,0
Mike Mbaud,0,0,0
Robin Moenen,0,0,0
Ross Bennie-Coulson,0,0,0
Wolf Van Dijk,0,0,0
 Christopher Raymond,0,0,0
Bart Wierenga,0,0,0
Caleb Korteweg,0,0,0
Daan Van Der Avoird,0,0,0
David Weersma,26,100,187
Hugo Scholler,0,0,0
Jade Plane,0,0,0
Jim Boelrijk,0,0,0
Jordy Hop,0,0,0
Jules Godefroy,0,0,0
Mark Coebergh,0,0,0
Mees Van Oord,0,0,0
Oliva Sialau,0,0,0
Spike Salman,0,0,0
Storm Carroll,0,0,0
Te Campbell,0,0,0
 Viktor Arkhip,0,0,0
Artemy Gallo,0,0,0
Azamat Bitiev,0,0,0
Evgeny Mishechkin,0,0,0
German Silenko,27,122,196
Kirill Gotovtsev,0,0,0
Maksim Gargalyk,0,0,0
Nikita Vavilin,28,100,188
Nikolai Kazalikashvili,0,0,0
Victor Gresev,0,0,0
Vitaly Zhivatov,0,0,0
Vladimir Podrezov,0,0,0
Alexei Scherban,0,0,0
Andrei Karzanov,32,84,179
Anton Makarenko,0,0,0
Daniil Semenov,0,0,0
Danil Potikhanov,0,0,0
