,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Marcus Smith,Fly half,harlequins,2022, 66 , 1 , 55 , 21 , 7 , 1 , 99 , 7 , 53 , 20 , 7 , 43 , 3 , 1 , 12 , 0 , 0 , 0 
Owen Farrell,Fly Half,saracens,2022, 53 , 0 , 23 , 7 , 1 , 1 , 26 , 1 , 9 , 13 , 9 , 13 , 1 , 0 , 0 , 1 , 0 , 0 
Robbie Henshaw,Centre,lions,2022,,,,,,,,,,,,,,,,,,
Stuart Hogg,Fullback,exeter-chiefs,2022, 16 , 2 , 80 , 27 , 4 , 0 , 36 , 3 , 22 , 3 , 0 , 20 , 2 , 2 , 10 , 3 , 0 , 0 
Allan Alaalatoa,Prop,brumbies,2022, 0 , 0 , 67 , 40 , 0 , 0 , 16 , 4 , 0 , 0 , 0 , 134 , 10 , 2 , 4 , 14 , 0 , 0 
Billy Pollard, Hooker,brumbies,2022, 15 , 3 , 34 , 15 , 3 , 0 , 4 , 0 , 0 , 0 , 0 , 48 , 5 , 1 , 6 , 1 , 0 , 0 
Connal McInerney,Hooker,brumbies,2022, 10 , 2 , 14 , 8 , 0 , 0 , 10 , 1 , 0 , 0 , 0 , 19 , 3 , 0 , 2 , 2 , 1 , 0 
Darcy Swain,Lock,brumbies,2022, 0 , 0 , 86 , 58 , 0 , 0 , 25 , 7 , 0 , 0 , 0 , 146 , 28 , 17 , 13 , 18 , 2 , 0 
Ed Kennedy,Flanker 6,brumbies,2022, 0 , 0 , 15 , 12 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 49 , 4 , 0 , 1 , 0 , 0 , 0 
Folau Fainga'a,Hooker,brumbies,2022, 25 , 5 , 53 , 33 , 2 , 0 , 13 , 1 , 0 , 0 , 0 , 74 , 14 , 3 , 19 , 8 , 1 , 0 
Jahrome Brown,Flanker 7,brumbies,2022, 15 , 3 , 82 , 39 , 1 , 0 , 39 , 6 , 0 , 0 , 0 , 121 , 24 , 8 , 7 , 10 , 2 , 0 
James Slipper,Prop,brumbies,2022, 0 , 0 , 91 , 50 , 1 , 0 , 9 , 1 , 0 , 0 , 0 , 96 , 16 , 4 , 2 , 14 , 1 , 0 
Luke Reimer, Hooker,brumbies,2022, 0 , 0 , 42 , 26 , 4 , 1 , 11 , 2 , 0 , 0 , 0 , 77 , 15 , 11 , 7 , 4 , 0 , 0 
Peter Samu,Flanker 7,brumbies,2022, 10 , 2 , 261 , 81 , 6 , 3 , 52 , 4 , 2 , 0 , 0 , 165 , 14 , 10 , 11 , 10 , 0 , 0 
Rob Valetini,Flanker 6,brumbies,2022, 20 , 4 , 248 , 85 , 5 , 3 , 24 , 4 , 3 , 0 , 0 , 127 , 13 , 5 , 13 , 4 , 1 , 0 
Scott Sio,Prop,brumbies,2022, 0 , 0 , 106 , 48 , 1 , 0 , 17 , 3 , 0 , 0 , 0 , 77 , 12 , 4 , 4 , 15 , 0 , 0 
Siaki Vikilani,Number 8,brumbies,2022, 0 , 0 , 69 , 26 , 4 , 1 , 74 , 6 , 14 , 0 , 0 , 31 , 9 , 1 , 6 , 0 , 0 , 0 
Sosefo Kautai,Prop,brumbies,2022, 0 , 0 , 37 , 16 , 2 , 0 , 11 , 0 , 0 , 0 , 0 , 59 , 8 , 7 , 4 , 6 , 1 , 0 
Tom Hooper,Lock 5,brumbies,2022, 0 , 0 , 136 , 53 , 0 , 1 , 5 , 1 , 0 , 0 , 0 , 110 , 17 , 2 , 2 , 5 , 0 , 0 
Andy Muirhead,Left Wing,brumbies,2022, 15 , 3 , 173 , 70 , 16 , 4 , 29 , 11 , 14 , 0 , 0 , 71 , 30 , 6 , 10 , 4 , 0 , 0 
Cadeyrn Neville,,brumbies,2022, 0 , 0 , 44 , 19 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 66 , 13 , 2 , 2 , 4 , 0 , 0 
Cameron Clark,Fullback,brumbies,2022, 10 , 2 , 23 , 7 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 12 , 2 , 0 , 3 , 1 , 1 , 0 
